filename,fold,target,category,esc10,src_file,take
1-100032-A-0.wav,1,0,dog,TRUE,100032,A
1-101336-A-30.wav,1,30,door_wood_knock,FALSE,101336,A
1-103995-A-30.wav,1,30,door_wood_knock,FALSE,103995,A
1-103999-A-30.wav,1,30,door_wood_knock,FALSE,103999,A
1-110389-A-0.wav,1,0,dog,TRUE,110389,A
1-137-A-32.wav,1,32,keyboard_typing,FALSE,137,A
1-155858-A-25.wav,1,25,footsteps,FALSE,155858,A
1-155858-B-25.wav,1,25,footsteps,FALSE,155858,B
1-155858-C-25.wav,1,25,footsteps,FALSE,155858,C
1-155858-D-25.wav,1,25,footsteps,FALSE,155858,D
1-155858-E-25.wav,1,25,footsteps,FALSE,155858,E
1-155858-F-25.wav,1,25,footsteps,FALSE,155858,F
1-223162-A-25.wav,1,25,footsteps,FALSE,223162,A
1-26188-A-30.wav,1,30,door_wood_knock,FALSE,26188,A
1-30226-A-0.wav,1,0,dog,TRUE,30226,A
1-30344-A-0.wav,1,0,dog,TRUE,30344,A
1-32318-A-0.wav,1,0,dog,TRUE,32318,A
1-51147-A-25.wav,1,25,footsteps,FALSE,51147,A
1-51805-A-33.wav,1,33,door_wood_creaks,FALSE,51805,A
1-51805-B-33.wav,1,33,door_wood_creaks,FALSE,51805,B
1-51805-C-33.wav,1,33,door_wood_creaks,FALSE,51805,C
1-51805-D-33.wav,1,33,door_wood_creaks,FALSE,51805,D
1-51805-E-33.wav,1,33,door_wood_creaks,FALSE,51805,E
1-51805-F-33.wav,1,33,door_wood_creaks,FALSE,51805,F
1-51805-G-33.wav,1,33,door_wood_creaks,FALSE,51805,G
1-51805-H-33.wav,1,33,door_wood_creaks,FALSE,51805,H
1-52290-A-30.wav,1,30,door_wood_knock,FALSE,52290,A
1-53501-A-32.wav,1,32,keyboard_typing,FALSE,53501,A
1-59513-A-0.wav,1,0,dog,TRUE,59513,A
1-61212-A-32.wav,1,32,keyboard_typing,FALSE,61212,A
1-62594-A-32.wav,1,32,keyboard_typing,FALSE,62594,A
1-79711-A-32.wav,1,32,keyboard_typing,FALSE,79711,A
1-81001-A-30.wav,1,30,door_wood_knock,FALSE,81001,A
1-81001-B-30.wav,1,30,door_wood_knock,FALSE,81001,B
1-82817-A-30.wav,1,30,door_wood_knock,FALSE,82817,A
1-84393-A-32.wav,1,32,keyboard_typing,FALSE,84393,A
1-85362-A-0.wav,1,0,dog,TRUE,85362,A
1-94231-A-32.wav,1,32,keyboard_typing,FALSE,94231,A
1-94231-B-32.wav,1,32,keyboard_typing,FALSE,94231,B
1-97392-A-0.wav,1,0,dog,TRUE,97392,A
2-104168-A-32.wav,2,32,keyboard_typing,FALSE,104168,A
2-109316-A-32.wav,2,32,keyboard_typing,FALSE,109316,A
2-114254-A-30.wav,2,30,door_wood_knock,FALSE,114254,A
2-114280-A-0.wav,2,0,dog,TRUE,114280,A
2-114587-A-0.wav,2,0,dog,TRUE,114587,A
2-116400-A-0.wav,2,0,dog,TRUE,116400,A
2-117271-A-0.wav,2,0,dog,TRUE,117271,A
2-118072-A-0.wav,2,0,dog,TRUE,118072,A
2-118459-A-32.wav,2,32,keyboard_typing,FALSE,118459,A
2-118459-B-32.wav,2,32,keyboard_typing,FALSE,118459,B
2-118624-A-30.wav,2,30,door_wood_knock,FALSE,118624,A
2-118625-A-30.wav,2,30,door_wood_knock,FALSE,118625,A
2-118817-A-32.wav,2,32,keyboard_typing,FALSE,118817,A
2-118964-A-0.wav,2,0,dog,TRUE,118964,A
2-120218-A-30.wav,2,30,door_wood_knock,FALSE,120218,A
2-120218-B-30.wav,2,30,door_wood_knock,FALSE,120218,B
2-120333-A-32.wav,2,32,keyboard_typing,FALSE,120333,A
2-122104-A-0.wav,2,0,dog,TRUE,122104,A
2-122104-B-0.wav,2,0,dog,TRUE,122104,B
2-123712-A-33.wav,2,33,door_wood_creaks,FALSE,123712,A
2-133889-A-30.wav,2,30,door_wood_knock,FALSE,133889,A
2-134915-A-30.wav,2,30,door_wood_knock,FALSE,134915,A
2-140841-A-30.wav,2,30,door_wood_knock,FALSE,140841,A
2-209471-A-25.wav,2,25,footsteps,FALSE,209471,A
2-209472-A-25.wav,2,25,footsteps,FALSE,209472,A
2-209473-A-25.wav,2,25,footsteps,FALSE,209473,A
2-209474-A-25.wav,2,25,footsteps,FALSE,209474,A
2-209475-A-25.wav,2,25,footsteps,FALSE,209475,A
2-209476-A-25.wav,2,25,footsteps,FALSE,209476,A
2-209477-A-25.wav,2,25,footsteps,FALSE,209477,A
2-209478-A-25.wav,2,25,footsteps,FALSE,209478,A
2-70344-A-33.wav,2,33,door_wood_creaks,FALSE,70344,A
2-70366-A-33.wav,2,33,door_wood_creaks,FALSE,70366,A
2-70367-A-33.wav,2,33,door_wood_creaks,FALSE,70367,A
2-7321-A-33.wav,2,33,door_wood_creaks,FALSE,7321,A
2-87780-A-33.wav,2,33,door_wood_creaks,FALSE,87780,A
2-91912-A-33.wav,2,33,door_wood_creaks,FALSE,91912,A
2-91912-B-33.wav,2,33,door_wood_creaks,FALSE,91912,B
2-99795-A-32.wav,2,32,keyboard_typing,FALSE,99795,A
2-99796-A-32.wav,2,32,keyboard_typing,FALSE,99796,A
3-101381-A-33.wav,3,33,door_wood_creaks,FALSE,101381,A
3-101381-B-33.wav,3,33,door_wood_creaks,FALSE,101381,B
3-103401-A-33.wav,3,33,door_wood_creaks,FALSE,103401,A
3-103401-B-33.wav,3,33,door_wood_creaks,FALSE,103401,B
3-103401-C-33.wav,3,33,door_wood_creaks,FALSE,103401,C
